CUI1,CUI2
C2931788,C2752037
C2931788,C2752038
C2931788,C2752039
C2931788,C2752040
C2931788,CN036211
C2931907,C0270968
C2931907,C0457133
C2931907,C1837342
C2931907,C1847759
C2931907,C1866008
C2931907,C1869123
C2931907,C1969785
C2931907,C2751052
C2931907,C2931687
C2931907,C2936331
C2931907,C3150989
C2931907,C3151184
C2931907,C3809236
C2932714,C1848526
C2932714,C1856974
C2932714,C2676465
C2932714,C2676466
C2932714,C3151140
C2936331,C0410173
C2936331,C2930900
C2936331,C2936332
C2936331,CN072428
C2936406,C0410174
C2936406,C1847759
C2936406,C3150413
C2936406,C3809216
C2936406,CN033898
C2936420,C2748895
C2936420,C2749215
C2936420,C3151782
C2936694,C1848296
C2936694,C1856273
C2936694,C2748896
C2936694,C2751317
C2936694,C2751824
C2936694,C2752149
C2936694,C3151064
C3161174,CN077787
C3266076,C1833369
C3266076,C1835894
C3266076,C1837210
C3266076,C1837213
C3266076,C1842143
C3266076,C1851878
C3266076,C1861537
C3266076,C1864323
C3266076,C1866070
C3266076,C2677434
C3266076,C2748505
C3266076,C3151222
C3469521,C1856796
C3501611,CN227788
C3696898,C1835905
C3696898,C1838049
C3696898,C1854335
C3711368,C1968602
C3711368,C1970456
